,precision,recall,f1-score,support
benign,0.8588235294117647,0.8111111111111111,0.8342857142857143,360.0
malignant,0.7848101265822784,0.8378378378378378,0.8104575163398693,296.0
accuracy,0.823170731707317,0.823170731707317,0.823170731707317,0.823170731707317
macro avg,0.8218168279970215,0.8244744744744745,0.8223716153127918,656.0
weighted avg,0.8254272378911428,0.823170731707317,0.8235339664321012,656.0
