,precision,recall,f1-score,support
benign,0.8241469816272966,0.8722222222222222,0.8475033738191633,360.0
malignant,0.8327272727272728,0.7736486486486487,0.8021015761821366,296.0
accuracy,0.8277439024390244,0.8277439024390244,0.8277439024390244,0.8277439024390244
macro avg,0.8284371271772847,0.8229354354354355,0.82480247500065,656.0
weighted avg,0.8280185763919201,0.8277439024390244,0.8270171968366025,656.0
