,precision,recall,f1-score,support
benign,0.8774373259052924,0.875,0.8762169680111266,360.0
malignant,0.8484848484848485,0.8513513513513513,0.8499156829679595,296.0
accuracy,0.864329268292683,0.864329268292683,0.864329268292683,0.864329268292683
macro avg,0.8629610871950705,0.8631756756756757,0.863066325489543,656.0
weighted avg,0.8643734031667996,0.864329268292683,0.8643493150038439,656.0
