,precision,recall,f1-score,support
benign,0.9173789173789174,0.8944444444444445,0.9057665260196905,360.0
malignant,0.8770226537216829,0.9033333333333333,0.8899835796387521,300.0
accuracy,0.8984848484848484,0.8984848484848484,0.8984848484848484,0.8984848484848484
macro avg,0.8972007855503001,0.8988888888888888,0.8978750528292213,660.0
weighted avg,0.8990351611710835,0.8984848484848484,0.8985924594829002,660.0
