,precision,recall,f1-score,support
benign,0.8619718309859155,0.85,0.855944055944056,360.0
malignant,0.8205980066445183,0.8344594594594594,0.8274706867671692,296.0
accuracy,0.8429878048780488,0.8429878048780488,0.8429878048780488,0.8429878048780488
macro avg,0.8412849188152169,0.8422297297297296,0.8417073713556126,656.0
weighted avg,0.8433031541489435,0.8429878048780488,0.8430963161935094,656.0
