,precision,recall,f1-score,support
benign,0.8943894389438944,0.7527777777777778,0.8174962292609351,360.0
malignant,0.7478753541076487,0.8918918918918919,0.8135593220338984,296.0
accuracy,0.8155487804878049,0.8155487804878049,0.8155487804878049,0.8155487804878049
macro avg,0.8211323965257715,0.8223348348348348,0.8155277756474167,656.0
weighted avg,0.828279425054369,0.8155487804878049,0.8157198199023941,656.0
