,precision,recall,f1-score,support
benign,0.8595505617977528,0.85,0.8547486033519553,360.0
malignant,0.82,0.831081081081081,0.825503355704698,296.0
accuracy,0.8414634146341463,0.8414634146341463,0.8414634146341463,0.8414634146341463
macro avg,0.8397752808988763,0.8405405405405405,0.8401259795283267,656.0
weighted avg,0.8417045765963277,0.8414634146341463,0.8415525769745344,656.0
